State,Date,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10
Alaska,2020-04-08,"country, in india, beat, biggest, india","tests, testing, free, tested, tested for","it's, isn't, calling, called, thinking","due to the, at work, empty, bc of the, travel","virus, idiot, human, 19, test positive for","thing, stupid, drink, numbers, trump","symptoms, go to work, symptoms of, catching, experts","vaccine, there is no, report, free, funding","read, news, article, thread, cover","it's, interesting, scary, children, badly"
Alaska,2020-04-09,"catch, hope, thing, cuz, karma","inform yourself about, be smart, avoid, fear of, coughs","trump, pence, response, crisis, trump","deaths, cases, total, breaking, new cases of","symptoms, go to work, symptoms of, catching, experts","die, catch, so far, at this point, die from the","fear, no one, media, panic, a pandemic","foxnews alert, breaking, death, state of emergency, australia","the spread of, to prevent, should be, mfs, wash their hands","world, wash your hands, end, release, the end of"
Alaska,2020-04-10,"hit, thing, economy, won't, bill","buy, because of the, gonna, stock, masks","government, plan, trump's, start, quarantine","trending, pray, trumpvirus, coronvirus, cornoravirus","stop, spreading, going to, we need to, the only thing","taking, caught, going around, thought, y'all","it's, i've, racist, hold, memes","beer, cure, thought, americans, drinking","inform yourself about, be smart, avoid, fear of, coughs","give, alcohol, apparently, washing your hands, sanitizer"
Alaska,2020-04-11,"panic, basically, response to, let's, city","test, risk, free, stand, police","it's, interesting, scary, children, badly","trending, pray, trumpvirus, coronvirus, cornoravirus","mask, masks, wearing, prevent, worried about","face, touch, train, bc, your face","country, reported, guess, breaking, week","media, information, it would be, scare, at least","bc, news, coming, what's, suddenly","kills, players, lysol, simply, tv"
Alaska,2020-04-12,"due to the, at work, empty, bc of the, travel","iran, thread, died, die, in","patients, hospital, doctors, nhs, live","buy, because of the, gonna, stock, masks","hope, contract, dying, cough, would be","right now, coughing, to deal with, bs, worry about","reduce your risk, let's, shake, common, trying to get","foxnews alert, breaking, death, state of emergency, australia","fears, due to, numbers, amid, hits","the spread of, to prevent, should be, mfs, wash their hands"
Alaska,2020-04-13,"reduce your risk, let's, shake, common, trying to get","virus, how do you, pakistan, awareness, might have","there's, person, test, isn't, ship","china, made, week, government, wuhan","tests, testing, free, tested, tested for","virus, idiot, human, 19, test positive for","house, will be, ago, asked, mf","mask, masks, wearing, prevent, worried about","face, touch, train, bc, your face","catch, hope, thing, cuz, karma"
Alaska,2020-04-14,"cases, there are, cases of, uk, in the uk","thing, stupid, drink, numbers, trump","worldwide, ny, in this place, waiting for, russia","test, risk, free, stand, police","news, heard, due to the, has been, plan","reduce your risk, let's, shake, common, trying to get","country, in india, beat, biggest, india","makes, thing, making, cough, worse","it's, give, thinking, gonna get, giving","trump, pence, response, crisis, trump"
Alaska,2020-04-15,"government, plan, trump's, start, quarantine","due to the, at work, empty, bc of the, travel","read, news, article, thread, cover","patients, hospital, doctors, nhs, live","tests, testing, free, tested, tested for","world, wash your hands, end, release, the end of","virus, test, doctor, safe, inside","reduce your risk, let's, shake, common, trying to get","symptoms, go to work, symptoms of, catching, experts","impact, states, panic, give, health"
Alaska,2020-04-16,"give, alcohol, apparently, washing your hands, sanitizer","sick, days, coming, give me, months","china, iran, world, handling, created","trump, president, election, spreading, america","event, because of the, cancel, this year, events","years, have been, de, killed, i feel like","fears, due to, numbers, amid, hits","beer, cure, thought, americans, drinking","country, reported, guess, breaking, week","impact, states, panic, give, health"
Alaska,2020-04-17,"scared, sick, the only one, right now, dangerous","safe, will be, because of, market, industry","give, alcohol, apparently, washing your hands, sanitizer","face, touch, train, bc, your face","thing, stupid, drink, numbers, trump","news, heard, due to the, has been, plan","trending, pray, trumpvirus, coronvirus, cornoravirus","reduce your risk, let's, shake, common, trying to get","beer, cure, thought, americans, drinking","ppl, president, cuz, would be, eating"
Alaska,2020-04-18,"impact, states, panic, give, health","china, iran, world, handling, created","hit, thing, economy, won't, bill","tests, testing, free, tested, tested for","government, plan, trump's, start, quarantine","fear, no one, media, panic, a pandemic","advice, email, clear, positive for, latest","trending, pray, trumpvirus, coronvirus, cornoravirus","because of the, online, right now, situation, china","made, disease, office, joke, ill"
Alaska,2020-04-19,"house, will be, ago, asked, mf","it's, isn't, calling, called, thinking","china, iran, world, handling, created","gonna, word, bring, tweets, town","right now, coughing, to deal with, bs, worry about","control, 2020, at this point, challenge, country","mask, masks, wearing, prevent, worried about","hope, contract, dying, cough, would be","impact, states, panic, give, health","going to, because of the, imagine, should be, hit"
Alaska,2020-04-20,"news, live, nyc, confirmed, cancel","safe, will be, because of, market, industry","beer, cure, thought, americans, drinking","worldwide, ny, in this place, waiting for, russia","school, close, bc of, gonna, schools","fears, due to, numbers, amid, hits","wash, clean, your hands, some people, hearing","face, touch, train, bc, your face","because of, cancel, hygiene, economy, surely","give, alcohol, apparently, washing your hands, sanitizer"
