State,Date,Word Count,Relative Twitter Sentiment,Relative Twitter Anxiety,Relative Twitter Loneliness
Alabama,2020-04-03,22084,0.7372935311495081,0.2723910179155304,0.7249729434800776
Alabama,2020-04-04,20399,0.301417239148646,0.6225838257194897,1.2185347078266437
Alabama,2020-04-05,21651,0.060143339792618045,0.8844460304218454,1.6470112273287016
Alabama,2020-04-06,23425,0.024638765698826882,0.4023932620008508,0.6821463733499245
Alabama,2020-04-07,10309,-0.254244108497956,0.8927156178587383,0.5297799986185736
Alabama,2020-04-08,32157,0.3653446325318799,0.6136604207763351,1.2163739703091252
Alabama,2020-04-09,28045,0.16024583686299054,0.7527620146354371,1.3157570688542009
Alabama,2020-04-10,25727,0.3876302148301353,0.6845033219168278,1.397735164983208
Alabama,2020-04-11,26203,0.3479670955187554,0.5408134321817641,1.693068818131053
Alabama,2020-04-12,27605,0.6851196732055118,0.6329302824270888,0.9928421045223234
Alabama,2020-04-13,32110,0.4095873886518465,0.4501349348435785,0.9947450814914485
Alabama,2020-04-14,30669,0.14835685258360176,0.25237102508539294,1.2821443417582299
Alabama,2020-04-15,29247,-0.2972703434200248,0.40022827394818167,1.778652164338635
Alabama,2020-04-16,28937,0.33461186266413984,0.4692939607284495,1.3268114787029022
Alabama,2020-04-17,26565,0.135674274829522,0.5434392300996246,1.1006227308349215
Alabama,2020-04-18,24934,0.11485367513054376,0.3804568080871598,1.410247026823055
Alabama,2020-04-19,29446,-0.04943139630204857,-0.10779038233089673,1.9675384934584501
Alabama,2020-04-20,30116,0.6175862793454274,-2.588273196282584e-4,0.41534227688042435
Alabama,2020-04-21,29668,-0.044481411273457706,0.34540475953618094,0.45991801446094854
Alabama,2020-04-22,33331,-0.7811798007309015,-0.15393977774857473,2.2451855156747076
Alabama,2020-04-23,32051,-0.44031654796234804,-0.06691117782152976,2.3340366728997166
Alabama,2020-04-24,32209,-0.4766667216214332,-0.6217022989880963,1.4197793687026872
Alabama,2020-04-25,29658,-1.3864879698706443,0.13151424710025958,2.7802609629757953
Alabama,2020-04-26,26224,-0.8538400163853921,0.36463819531430325,2.01361197344893
Alabama,2020-04-27,27776,0.30339790537614003,0.26799902449807,1.650039578266277
Alabama,2020-04-28,27412,-0.09125085889086251,-0.059268993485678115,1.357642916575288
Alabama,2020-04-29,28464,-0.4275474186358776,0.08274778725352602,1.6299579389594645
Alabama,2020-04-30,29565,-0.43669333166658525,0.3663669443062867,1.856366254345052
Alabama,2020-05-01,27377,0.34700400688118177,0.4208949736097694,1.4672662250314121
Alabama,2020-05-02,23430,-0.2037254814992893,0.3574194009986924,2.4397029670659833
Alabama,2020-05-03,24536,-0.2478083009955296,0.8353219363258604,1.7591835137860834
Alabama,2020-05-04,28734,-0.9203045094694453,0.11336918883893622,2.5015125242028664
